date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:31:04	1350/1350	---M--	200	added ('OK')	image/png	etag:%22cee13cd98ca7da1:0%22	https://www.oktaydev.com.tr/images/next.png	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/images/next.png	(from https://www.oktaydev.com.tr/css/lightbox.css)
12:31:04	280/280	---M--	200	added ('OK')	image/png	etag:%223121dbd88ca7da1:0%22	https://www.oktaydev.com.tr/images/close.png	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/images/close.png	(from https://www.oktaydev.com.tr/css/lightbox.css)
12:31:05	12013/12013	---M--	200	added ('OK')	text/css	etag:%22b83972d88ca7da1:0%22	https://www.oktaydev.com.tr/botlar/style.css	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/style.css	(from https://www.oktaydev.com.tr/botlar/)
12:31:05	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20Web%20Sites/oktay/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://www.oktaydev.com.tr/botlar/)
12:31:06	86927/86927	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-1538f%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	C:/My%20Web%20Sites/oktay/cdnjs.cloudflare.com/ajax/libs/jquery/3.3.1/jquery.min.js	(from https://www.oktaydev.com.tr/botlar/)
12:31:06	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jun%202024%2009:31:07%20GMT	https://www.oktaydev.com.tr/botlar/kirito	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/kirito.1a.delayed	(from https://www.oktaydev.com.tr/botlar/)
12:31:06	826298/826298	---M--	200	added ('OK')	image/gif	date:Mon,%2029%20Apr%202024%2010:44:48%20GMT	https://cdn.discordapp.com/avatars/1193730158042021988/a_24df23f99c8737049c52ba8bac095621.gif?size=1024	C:/My%20Web%20Sites/oktay/cdn.discordapp.com/avatars/1193730158042021988/a_24df23f99c8737049c52ba8bac0956219b07.gif	(from https://www.oktaydev.com.tr/botlar/)
12:31:07	16200/16200	---M--	200	added ('OK')	text/html	etag:%22d3db4dd68ca7da1:0%22	https://www.oktaydev.com.tr/botlar/kirito/	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/kirito/index.html	(from https://www.oktaydev.com.tr/botlar/)
12:31:07	165/165	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2020%20Jun%202024%2009:31:07%20GMT	https://www.oktaydev.com.tr/botlar/rimuru	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/rimuru.1b.delayed	(from https://www.oktaydev.com.tr/botlar/)
12:31:07	39544/39544	---M--	200	added ('OK')	text/html	etag:%2282d4d21893a7da1:0%22	https://www.oktaydev.com.tr/botlar/rimuru/	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/rimuru/index.html	(from https://www.oktaydev.com.tr/botlar/)
12:31:07	1588/1588	---M--	200	added ('OK')	application/javascript	etag:%222ebf13d78ca7da1:0%22	https://www.oktaydev.com.tr/botlar/main.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/main.js	(from https://www.oktaydev.com.tr/botlar/)
12:31:08	2342/2342	---M--	200	added ('OK')	application/javascript	etag:%2242d29fd58ca7da1:0%22	https://www.oktaydev.com.tr/botlar/commands.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/commands.js	(from https://www.oktaydev.com.tr/botlar/)
12:31:08	22607/22607	---M-Z	200	added ('OK')	application/javascript	etag:W/%2266431654-584f%22	https://code.iconify.design/1/1.0.4/iconify.min.js	C:/My%20Web%20Sites/oktay/code.iconify.design/1/1.0.4/iconify.min.js	(from https://www.oktaydev.com.tr/botlar/)
12:31:09	61773/61773	---MCZ	200	added ('OK')	text/css	etag:W/%22f14d-ew+w1aCmsH55tnLawpdwjvP5fa0%22	https://cdn.jsdelivr.net/npm/boxicons@2.0.5/css/boxicons.min.css	C:/My%20Web%20Sites/oktay/cdn.jsdelivr.net/npm/boxicons@2.0.5/css/boxicons.min.css	(from https://www.oktaydev.com.tr/botlar/)
12:31:09	12013/12013	---M--	200	added ('OK')	text/css	etag:%22ceade1d68ca7da1:0%22	https://www.oktaydev.com.tr/botlar/kirito/style.css	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/kirito/style.css	(from https://www.oktaydev.com.tr/botlar/kirito/)
12:31:10	1588/1588	---M--	200	added ('OK')	application/javascript	etag:%226a5182d68ca7da1:0%22	https://www.oktaydev.com.tr/botlar/kirito/main.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/kirito/main.js	(from https://www.oktaydev.com.tr/botlar/kirito/)
12:31:10	2342/2342	---M--	200	added ('OK')	application/javascript	etag:%223a6819d68ca7da1:0%22	https://www.oktaydev.com.tr/botlar/kirito/commands.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/kirito/commands.js	(from https://www.oktaydev.com.tr/botlar/kirito/)
12:31:11	12013/12013	---M--	200	added ('OK')	text/css	etag:%22937810d88ca7da1:0%22	https://www.oktaydev.com.tr/botlar/rimuru/style.css	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/rimuru/style.css	(from https://www.oktaydev.com.tr/botlar/rimuru/)
12:31:11	1588/1588	---M--	200	added ('OK')	application/javascript	etag:%223256acd78ca7da1:0%22	https://www.oktaydev.com.tr/botlar/rimuru/main.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/rimuru/main.js	(from https://www.oktaydev.com.tr/botlar/rimuru/)
12:31:12	2342/2342	---M--	200	added ('OK')	application/javascript	etag:%2242d145d78ca7da1:0%22	https://www.oktaydev.com.tr/botlar/rimuru/commands.js	C:/My%20Web%20Sites/oktay/www.oktaydev.com.tr/botlar/rimuru/commands.js	(from https://www.oktaydev.com.tr/botlar/rimuru/)
